sci_name,legend,source,event_year,longitude,latitude
Hubbsina turneri,Extant (resident),de Jong,2014.0,-101.4795,19.8745
Hubbsina turneri,Extant (resident),Köck et al.,2014.0,-101.7773,19.8256
Hubbsina turneri,Extant (resident),Lyons,2015.0,-101.7876,19.8273
Ictalurus mexicanus,Extant (resident), ,1971.0,-99.35417,21.98083
Ictalurus mexicanus,Extant (resident), ,1974.0,-99.3,22.0
Ameca splendens,Extant (resident),Köck et al.,2016.0,-104.0793,20.9014
Ameca splendens,Extant (resident),Domínguez-Domínguez,2017.0,-103.845,20.6801
Ameca splendens,Extant (resident),Domínguez-Domínguez,2017.0,-103.8433,20.681
Ameca splendens,Extant (resident),Domínguez-Domínguez,2017.0,-103.8431,20.6761
Ameca splendens,Extant (resident),Domínguez-Domínguez,2017.0,-103.8427,20.6758
Ameca splendens,Extant (resident),Domínguez-Domínguez,2017.0,-103.8415,20.6896
Ameca splendens,Extant (resident),Köck et al.,2016.0,-103.8417,20.6897
Ameca splendens,Extant (resident),Soltz et al.,1977.0,-103.844,20.6814
Ameca splendens,Possibly Extinct,Domínguez-Domínguez,2005.0,-103.5148,19.955
Ameca splendens,Possibly Extinct,Peters & McIntosh,1949.0,-103.927,20.5626
Allotoca diazi,Extant (resident),Domínguez-Domínguez,1998.0,-101.5651,19.5575
Allotoca diazi,Extant (resident),Instituto Politécnico Nacional,1941.0,-101.5214,19.5205
Allotoca diazi,Extant (resident),Köck et al.,2017.0,-101.5215,19.573
Allotoca diazi,Possibly Extinct,Barbour & Douglass,1969.0,-101.7064,19.5861
Allotoca diazi,Possibly Extinct,Barbour & Douglass,1969.0,-101.5726,19.6367
Allotoca diazi,Possibly Extinct,Jiménez,1990.0,-101.6508,19.5717
Allotoca diazi,Possibly Extinct,Lyons,1991.0,-101.616,19.5623
Chirostoma attenuatum,Extant (resident),Eduardo Soto-Galera,1956.0,-101.61917,19.54556
Chirostoma attenuatum,Extant (resident),Eduardo Soto-Galera,1957.0,-101.6475,19.58556
Chirostoma attenuatum,Extant (resident),Eduardo Soto-Galera,1957.0,-101.61917,19.54556
Chirostoma attenuatum,Extant (resident),Eduardo Soto-Galera,1998.0,-101.65389,19.54056
Zoogoneticus tequila,Extant (resident),Lambert,1990.0,-103.8436,20.6816
