country,iso,tree_cover_gain_1000_ha,umd_tree_cover_extent_2000__ha
Aruba,ABW,0.01924,18197.51125791324
Afghanistan,AFG,10.741024,64385715.38638369
Angola,AGO,1224.126467,124742297.51717784
Anguilla,AIA,0.069881,8332.247766094113
Aland Islands,ALA,2.582831,150643.2769397524
Albania,ALB,16.472161,2873537.207248782
Andorra,AND,0.120082,45196.41073184428
United Arab Emirates,ARE,0.595953,7120447.902649108
Argentina,ARG,1107.734576,278010122.0692334
Armenia,ARM,12.255933,2969008.6799902185
French Southern Territories,ATF,0.0,4361.769312734769
Antigua and Barbuda,ATG,0.361556,43575.65842128847
Australia,AUS,1600.600188,768791340.1200677
Austria,AUT,36.316527,8385801.905500197
Azerbaijan,AZE,30.269882,8623532.539268607
Burundi,BDI,16.374255,2693531.44182182
Belgium,BEL,41.686744,3070744.16406786
Benin,BEN,181.408393,11542318.344423028
"Bonaire, Saint Eustatius and Saba",BES,0.270183,32365.985888005624
Burkina Faso,BFA,142.766377,27341710.745225165
Bangladesh,BGD,317.861621,13938437.34061682
Bulgaria,BGR,106.350802,11158730.954921594
Bahrain,BHR,0.062252,71517.71355012742
Bahamas,BHS,6.31643,1338763.0050995946
Bosnia and Herzegovina,BIH,53.275539,5106883.294356901
St. Barths,BLM,0.002565,2468.5248173492746
Belarus,BLR,963.615697,20706912.08808546
Belize,BLZ,18.602439,2198946.1320676226
Bermuda,BMU,0.0,6808.118594279566
Bolivia,BOL,617.222472,108339284.56963706
Brazil,BRA,8062.335575,850035649.7393937
Barbados,BRB,0.376695,43466.146104125924
Brunei Darussalam,BRN,7.531551,577778.773879181
Bhutan,BTN,28.22058,3876296.122154152
Botswana,BWA,13.303413,57788401.209046975
Central African Republic,CAF,482.448638,62019959.33841693
Canada,CAN,16965.178685,983422993.9379046
Switzerland,CHE,15.072472,4124549.6418704903
Chile,CHL,731.81862,75735291.61001234
China,CHN,6689.626496,938223515.6921806
Cote d'Ivoire,CIV,881.678486,32165794.10811168
Cameroon,CMR,351.062814,46604005.889688805
DR Congo,COD,1591.178539,232912780.76088604
Congo Republic,COG,113.139384,34173222.793622985
Colombia,COL,1085.199375,113675874.94466178
Comoros,COM,0.081774,167304.82830115609
Cabo Verde,CPV,0.0,409097.90660207
Costa Rica,CRI,57.877196,5117666.97282902
Cuba,CUB,164.350809,11073121.951090487
Curacao,CUW,0.175919,43776.98739261684
Cayman Islands,CYM,0.496933,28039.828707516874
Cyprus,CYP,3.222191,571955.8559031385
Czechia,CZE,77.299754,7883558.885974128
Germany,DEU,342.76213,35783855.98694135
Djibouti,DJI,0.00143,2186335.764996828
