country_old,threshold,area,extent_2000,extent_2010,gain_2000-2020,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,tree_cover_2000,carbon_stocks_2000,avg_carbon_stocks_2000,carbon_emissions_yr,carbon_removals_yr,net_flux_yr,emissions_2001,emissions_2002,emissions_2003,emissions_2004,emissions_2005,emissions_2006,emissions_2007,emissions_2008,emissions_2009,emissions_2010,emissions_2011,emissions_2012,emissions_2013,emissions_2014,emissions_2015,emissions_2016,emissions_2017,emissions_2018,emissions_2019,emissions_2020,emissions_2021,emissions_2022,emissions_2023,subnational1,iso,loss__year,tree_cover_loss,tree_cover_loss_from_fires,country
Afghanistan,30,64385715,205791,71797,10741,88,179,244,201,236,152,253,107,70,88,113,39,1,3,0,0,0,26,17,37,26,6,15,205791,12410476,60,15164.0,378089.0,-362925.0,23243.0,38860.0,45741.0,33108.0,38775.0,22689.0,40227.0,18666.0,13225.0,13456.0,19267.0,8741.0,269.0,611.0,0.0,0.0,0.0,4869.0,3687.0,11387.0,6746.0,1908.0,3296.0,,AND,2001.0,1.654212948,0.285373012,Afghanistan
Afghanistan,50,64385715,148430,46242,10741,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15,33,23,5,8,148430,9766233,66,12511.0,277121.0,-264610.0,21247.0,30517.0,39394.0,27596.0,29854.0,17713.0,33779.0,15339.0,9817.0,10087.0,16882.0,7318.0,170.0,427.0,0.0,0.0,0.0,3902.0,3327.0,10299.0,6020.0,1661.0,2407.0,,ARG,2001.0,147805.9504,7972.718403,Afghanistan
Afghanistan,75,64385715,75486,18270,10741,47,61,96,61,64,43,83,28,21,24,41,14,0,0,0,0,0,10,8,19,9,2,3,75486,5572051,74,6046.0,152312.0,-146266.0,13135.0,14478.0,20997.0,12176.0,12532.0,7542.0,15584.0,6195.0,4745.0,4401.0,8391.0,3750.0,43.0,101.0,0.0,0.0,0.0,1951.0,1734.0,6438.0,2460.0,666.0,1739.0,,ARM,2001.0,131.8406123,28.98565124,Afghanistan
Akrotiri and Dhekelia,30,23448,456,383,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,1,1,0,0,456,20529,45,636.0,1628.0,-992.0,383.0,144.0,0.0,486.0,47.0,588.0,966.0,401.0,934.0,43.0,453.0,917.0,387.0,437.0,2702.0,3975.0,651.0,339.0,204.0,321.0,212.0,39.0,0.0,,BEL,2001.0,971.4881953,10.19918555,not found
Akrotiri and Dhekelia,50,23448,336,238,42,1,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,0,1,0,0,336,16116,48,594.0,1242.0,-649.0,345.0,144.0,0.0,486.0,20.0,564.0,789.0,330.0,921.0,43.0,388.0,917.0,374.0,397.0,2641.0,3945.0,574.0,266.0,204.0,81.0,185.0,39.0,0.0,,BEN,2001.0,3749.331105,8.461169358,not found
Akrotiri and Dhekelia,75,23448,185,136,42,1,0,0,1,0,1,2,1,2,0,1,2,1,0,3,5,0,0,0,0,0,0,0,185,9639,52,385.0,744.0,-359.0,204.0,98.0,0.0,457.0,20.0,359.0,615.0,191.0,806.0,43.0,349.0,917.0,304.0,142.0,1601.0,2409.0,159.0,34.0,99.0,0.0,0.0,39.0,0.0,,BES,2001.0,3.031857253,0.0,not found
Albania,30,2873537,648680,589017,16472,3729,890,614,3237,695,963,5225,5471,1337,656,1188,5396,2570,1052,284,928,1689,2049,1074,1118,1686,2095,2503,648680,40971858,63,723550.0,5114214.0,-4390664.0,1365790.0,338698.0,178361.0,1351072.0,276560.0,423400.0,1590583.0,1794659.0,592274.0,280745.0,367909.0,2071794.0,886204.0,448126.0,118784.0,331665.0,449880.0,728210.0,428071.0,438029.0,549402.0,683222.0,948213.0,,BLR,2001.0,18358.96428,339.6969632,Albania
Albania,50,2873537,534848,428833,16472,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947,940,1371,1778,2258,534848,37251527,70,685006.0,4304321.0,-3619314.0,1309394.0,329056.0,168053.0,1303061.0,264380.0,410407.0,1546135.0,1721490.0,573935.0,270556.0,345770.0,1967284.0,818837.0,421831.0,112725.0,303059.0,403984.0,672969.0,403641.0,400301.0,490905.0,622812.0,894561.0,,BLZ,2001.0,8211.629493,1289.197612,Albania
Albania,75,2873537,363824,190809,16472,2582,706,374,2430,487,752,3947,4058,1018,502,789,3729,1637,729,198,524,930,1289,724,690,947,1197,1721,363824,28770150,79,577781.0,3009644.0,-2431863.0,1099355.0,294081.0,137213.0,1135451.0,222271.0,365849.0,1361982.0,1490654.0,501133.0,239489.0,294855.0,1671835.0,663085.0,355882.0,96077.0,245172.0,314989.0,528913.0,339170.0,330535.0,382948.0,478706.0,739319.0,,BMU,2001.0,0.195819794,0.0,Albania
Algeria,30,230804377,1223621,821606,89152,3469,3010,3831,4374,4470,5415,5202,7972,10467,2606,8344,10913,6927,9523,5707,8011,45979,5764,6291,13073,20473,13443,22023,1223621,64837658,53,2779935.0,4904868.0,-2124933.0,821888.0,739994.0,1026669.0,1175226.0,1114109.0,1387006.0,1387189.0,2139589.0,2809777.0,716202.0,2388574.0,2924986.0,1828902.0,2394364.0,1670607.0,2281126.0,12280048.0,1784480.0,1779281.0,3719345.0,6193226.0,3340690.0,8035220.0,,BWA,2001.0,130.9838815,3.553408238,Algeria
